| network_model                | SparseGuidedDepth                                   |
| rmse     | 3.18087   |
| rmse_log | 0.156139  |
| log10    | 0.0457975 |
| silog    | 0.149874  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_16.pth 
| d1       | 0.9077    |
| d2       | 0.982111  |
| d3       | 0.995531  |
| abs_rel  | 0.109078  |
| sq_rel   | 0.431531  |
| rmse     | 3.10852   |
| rmse_log | 0.149791  |
| log10    | 0.0438416 |
| silog    | 0.144173  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_17.pth 
| d1       | 0.912743  |
| d2       | 0.983351  |
| d3       | 0.995954  |
| abs_rel  | 0.105169  |
| sq_rel   | 0.40548   |
| rmse     | 3.03638   |
| rmse_log | 0.144834  |
| log10    | 0.0425229 |
| silog    | 0.140035  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_20.pth 
| d1       | 0.90631   |
| d2       | 0.982784  |
| d3       | 0.996074  |
| abs_rel  | 0.109911  |
| sq_rel   | 0.402001  |
| rmse     | 3.00682   |
| rmse_log | 0.14446   |
| log10    | 0.0442306 |
| silog    | 0.138034  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_21.pth 
| d1       | 0.919918  |
| d2       | 0.985534  |
| d3       | 0.996714  |
| abs_rel  | 0.100787  |
| sq_rel   | 0.364501  |
| rmse     | 2.95626   |
| rmse_log | 0.135986  |
| log10    | 0.0411049 |
| silog    | 0.131374  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_22.pth 
| d1       | 0.92774   |
| d2       | 0.987407  |
| d3       | 0.997181  |
| abs_rel  | 0.0945812 |
| sq_rel   | 0.334253  |
| rmse     | 2.84321   |
| rmse_log | 0.129285  |
| log10    | 0.0388343 |
| silog    | 0.125631  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_23.pth 
| d1       | 0.935541  |
| d2       | 0.988576  |
| d3       | 0.997396  |
| abs_rel  | 0.0889719 |
| sq_rel   | 0.317758  |
| rmse     | 2.74174   |
| rmse_log | 0.123262  |
| log10    | 0.0364517 |
| silog    | 0.119742  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_26.pth 
| d1       | 0.939804  |
| d2       | 0.98921   |
| d3       | 0.99739   |
| abs_rel  | 0.0866887 |
| sq_rel   | 0.316992  |
| rmse     | 2.70008   |
| rmse_log | 0.1192    |
| log10    | 0.0351955 |
| silog    | 0.114829  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_27.pth 
| d1       | 0.942193  |
| d2       | 0.989821  |
| d3       | 0.997596  |
| abs_rel  | 0.0840674 |
| sq_rel   | 0.291347  |
| rmse     | 2.62487   |
| rmse_log | 0.11717   |
| log10    | 0.0344967 |
| silog    | 0.113855  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_28.pth 
| d1       | 0.94465   |
| d2       | 0.990605  |
| d3       | 0.997837  |
| abs_rel  | 0.0814621 |
| sq_rel   | 0.279372  |
| rmse     | 2.62006   |
| rmse_log | 0.114588  |
| log10    | 0.033716  |
| silog    | 0.111935  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_29.pth 
| d1       | 0.94864   |
| d2       | 0.99129   |
| d3       | 0.997964  |
| abs_rel  | 0.0781234 |
| sq_rel   | 0.271039  |
| rmse     | 2.59075   |
| rmse_log | 0.111397  |
| log10    | 0.0324117 |
| silog    | 0.108968  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_33.pth 
| d1       | 0.952508  |
| d2       | 0.991684  |
| d3       | 0.997936  |
| abs_rel  | 0.0774515 |
| sq_rel   | 0.269938  |
| rmse     | 2.54296   |
| rmse_log | 0.108107  |
| log10    | 0.0318015 |
| silog    | 0.104871  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_34.pth 
| d1       | 0.952742  |
| d2       | 0.992125  |
| d3       | 0.998111  |
| abs_rel  | 0.0758188 |
| sq_rel   | 0.254636  |
| rmse     | 2.52742   |
| rmse_log | 0.10727   |
| log10    | 0.0315341 |
