| network_model                | GuideDepth                        |
| rmse     | 2.82839   |
| rmse_log | 0.340224  |
| log10    | 0.0743159 |
| silog    | 0.331508  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_28.pth 
| d1       | 0.777871  |
| d2       | 0.883175  |
| d3       | 0.971427  |
| abs_rel  | 0.134887  |
| sq_rel   | 0.527358  |
| rmse     | 2.82069   |
| rmse_log | 0.332048  |
| log10    | 0.0726979 |
| silog    | 0.323409  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_29.pth 
| d1       | 0.780422  |
| d2       | 0.884352  |
| d3       | 0.972758  |
| abs_rel  | 0.132356  |
| sq_rel   | 0.520263  |
| rmse     | 2.80992   |
| rmse_log | 0.319476  |
| log10    | 0.0706864 |
| silog    | 0.31092   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_30.pth 
| d1       | 0.782764  |
| d2       | 0.885702  |
| d3       | 0.97429   |
| abs_rel  | 0.129527  |
| sq_rel   | 0.5118    |
| rmse     | 2.79654   |
| rmse_log | 0.30241   |
| log10    | 0.0683151 |
| silog    | 0.293858  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_31.pth 
| d1       | 0.784814  |
| d2       | 0.886855  |
| d3       | 0.975695  |
| abs_rel  | 0.12692   |
| sq_rel   | 0.504929  |
| rmse     | 2.78593   |
| rmse_log | 0.287638  |
| log10    | 0.0663046 |
| silog    | 0.279019  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_32.pth 
| d1       | 0.786539  |
| d2       | 0.887842  |
| d3       | 0.976904  |
| abs_rel  | 0.124622  |
| sq_rel   | 0.499825  |
| rmse     | 2.77829   |
| rmse_log | 0.276512  |
| log10    | 0.0647032 |
| silog    | 0.267898  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_33.pth 
| d1       | 0.788145  |
| d2       | 0.888747  |
| d3       | 0.978192  |
| abs_rel  | 0.1226    |
| sq_rel   | 0.495643  |
| rmse     | 2.77206   |
| rmse_log | 0.267191  |
| log10    | 0.0633499 |
| silog    | 0.258652  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_34.pth 
| d1       | 0.789609  |
| d2       | 0.889668  |
| d3       | 0.979796  |
| abs_rel  | 0.120806  |
| sq_rel   | 0.492175  |
| rmse     | 2.76703   |
| rmse_log | 0.259878  |
| log10    | 0.0622182 |
| silog    | 0.251367  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_35.pth 
| d1       | 0.790837  |
| d2       | 0.890515  |
| d3       | 0.981405  |
| abs_rel  | 0.119368  |
| sq_rel   | 0.490053  |
| rmse     | 2.76453   |
| rmse_log | 0.257334  |
| log10    | 0.0614674 |
| silog    | 0.24878   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_36.pth 
| d1       | 0.791951  |
| d2       | 0.891485  |
| d3       | 0.982762  |
| abs_rel  | 0.118227  |
| sq_rel   | 0.487754  |
| rmse     | 2.76137   |
| rmse_log | 0.252481  |
| log10    | 0.0607381 |
| silog    | 0.243927  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_37.pth 
| d1       | 0.793314  |
| d2       | 0.892702  |
| d3       | 0.98447   |
| abs_rel  | 0.117103  |
| sq_rel   | 0.483677  |
| rmse     | 2.75416   |
| rmse_log | 0.237535  |
| log10    | 0.0596363 |
| silog    | 0.229116  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_38.pth 
| d1       | 0.794556  |
| d2       | 0.893791  |
| d3       | 0.985736  |
| abs_rel  | 0.116191  |
| sq_rel   | 0.480536  |
| rmse     | 2.74857   |
| rmse_log | 0.224107  |
| log10    | 0.0587852 |
| silog    | 0.215846  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_39.pth 
| d1       | 0.79551   |
| d2       | 0.894701  |
| d3       | 0.985924  |
| abs_rel  | 0.115439  |
| sq_rel   | 0.479292  |
| rmse     | 2.74702   |
| rmse_log | 0.221767  |
| log10    | 0.0583604 |
| silog    | 0.213615  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_40.pth 
| d1       | 0.796448  |
| d2       | 0.895621  |
| d3       | 0.985973  |
| abs_rel  | 0.114597  |
| sq_rel   | 0.478129  |
| rmse     | 2.74561   |
| rmse_log | 0.220283  |
| log10    | 0.0579302 |
| silog    | 0.212178  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_41.pth 
| d1       | 0.797381  |
| d2       | 0.896558  |
| d3       | 0.985987  |
| abs_rel  | 0.113694  |
| sq_rel   | 0.476991  |
| rmse     | 2.74417   |
| rmse_log | 0.219086  |
| log10    | 0.0574885 |
| silog    | 0.211021  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_42.pth 
| d1       | 0.79844   |
| d2       | 0.897498  |
| d3       | 0.985994  |
| abs_rel  | 0.112803  |
| sq_rel   | 0.475911  |
| rmse     | 2.74274   |
| rmse_log | 0.218019  |
| log10    | 0.0570567 |
| silog    | 0.210049  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_43.pth 
| d1       | 0.79929   |
| d2       | 0.89847   |
| d3       | 0.986016  |
| abs_rel  | 0.111973  |
| sq_rel   | 0.474812  |
| rmse     | 2.7411    |
| rmse_log | 0.216169  |
| log10    | 0.0566305 |
| silog    | 0.20832   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_44.pth 
| d1       | 0.800076  |
| d2       | 0.900618  |
| d3       | 0.986037  |
| abs_rel  | 0.111171  |
| sq_rel   | 0.473921  |
| rmse     | 2.73988   |
| rmse_log | 0.215431  |
| log10    | 0.0562453 |
| silog    | 0.207663  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_45.pth 
| d1       | 0.800811 |
| d2       | 0.901024 |
| d3       | 0.98604  |
| abs_rel  | 0.110448 |
| sq_rel   | 0.473149 |
| rmse     | 2.73896  |
| rmse_log | 0.214769 |
| log10    | 0.055897 |
| silog    | 0.20702  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_46.pth 
| d1       | 0.801742  |
| d2       | 0.901075  |
| d3       | 0.98604   |
| abs_rel  | 0.109766  |
