| network_model                | AuxSparseGuidedDepth                                                       |
| rmse_log | 0.132628  |
| log10    | 0.0370649 |
| silog    | 0.127601  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_33.pth 
| d1       | 0.918399  |
| d2       | 0.98246   |
| d3       | 0.99499   |
| abs_rel  | 0.0932254 |
| sq_rel   | 0.554864  |
| rmse     | 3.71833   |
| rmse_log | 0.132668  |
| log10    | 0.0371554 |
| silog    | 0.127329  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_35.pth 
| d1       | 0.919558  |
| d2       | 0.982772  |
| d3       | 0.995133  |
| abs_rel  | 0.09239   |
| sq_rel   | 0.54611   |
| rmse     | 3.69206   |
| rmse_log | 0.13172   |
| log10    | 0.0368588 |
| silog    | 0.126464  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_37.pth 
| d1       | 0.922304  |
| d2       | 0.983395  |
| d3       | 0.995354  |
| abs_rel  | 0.0903041 |
| sq_rel   | 0.529928  |
| rmse     | 3.65598   |
| rmse_log | 0.129794  |
| log10    | 0.0361747 |
| silog    | 0.125005  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_39.pth 
| d1       | 0.924886  |
| d2       | 0.983957  |
| d3       | 0.995524  |
| abs_rel  | 0.0883206 |
| sq_rel   | 0.514825  |
| rmse     | 3.62317   |
| rmse_log | 0.128     |
| log10    | 0.0355404 |
| silog    | 0.12367   |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_41.pth 
| d1       | 0.926665  |
| d2       | 0.984351  |
| d3       | 0.995643  |
| abs_rel  | 0.0869315 |
| sq_rel   | 0.50306   |
| rmse     | 3.59406   |
| rmse_log | 0.12668   |
| log10    | 0.0350917 |
| silog    | 0.122641  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_43.pth 
| d1       | 0.92802   |
| d2       | 0.984645  |
| d3       | 0.995733  |
| abs_rel  | 0.0859895 |
| sq_rel   | 0.49377   |
| rmse     | 3.56694   |
| rmse_log | 0.125668  |
| log10    | 0.0347744 |
| silog    | 0.121765  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_44.pth 
| d1       | 0.932775  |
| d2       | 0.986624  |
| d3       | 0.996603  |
| abs_rel  | 0.079518  |
| sq_rel   | 0.406424  |
| rmse     | 3.56257   |
| rmse_log | 0.121857  |
| log10    | 0.0342556 |
| silog    | 0.118723  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_45.pth 
| d1       | 0.928985  |
| d2       | 0.984866  |
| d3       | 0.995803  |
| abs_rel  | 0.0853036 |
| sq_rel   | 0.486483  |
| rmse     | 3.54245   |
| rmse_log | 0.124877  |
| log10    | 0.0345225 |
| silog    | 0.121033  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_46.pth 
| d1       | 0.933825  |
| d2       | 0.98682   |
| d3       | 0.996638  |
| abs_rel  | 0.0788813 |
| sq_rel   | 0.401377  |
| rmse     | 3.53417   |
| rmse_log | 0.121084  |
| log10    | 0.0339842 |
| silog    | 0.118006  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_47.pth 
| d1       | 0.9296    |
| d2       | 0.985034  |
| d3       | 0.995846  |
| abs_rel  | 0.0848557 |
| sq_rel   | 0.481463  |
| rmse     | 3.52281   |
| rmse_log | 0.124301  |
| log10    | 0.0343333 |
| silog    | 0.120452  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_48.pth 
| d1       | 0.934703  |
| d2       | 0.986997  |
| d3       | 0.996681  |
| abs_rel  | 0.0783403 |
| sq_rel   | 0.397009  |
| rmse     | 3.51328   |
| rmse_log | 0.120516  |
| log10    | 0.0337997 |
| silog    | 0.117423  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_49.pth 
| d1       | 0.929664  |
| d2       | 0.985135  |
| d3       | 0.99587   |
| abs_rel  | 0.0848078 |
| sq_rel   | 0.479479  |
| rmse     | 3.51007   |
| rmse_log | 0.124068  |
| log10    | 0.0342721 |
| silog    | 0.120111  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_50.pth 
| d1       | 0.935282  |
| d2       | 0.987152  |
| d3       | 0.996712  |
| abs_rel  | 0.0779429 |
| sq_rel   | 0.393385  |
| rmse     | 3.49991   |
| rmse_log | 0.120135  |
| log10    | 0.0336945 |
| silog    | 0.116997  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_52.pth 
| d1       | 0.935801  |
| d2       | 0.987292  |
| d3       | 0.996742  |
| abs_rel  | 0.0775639 |
| sq_rel   | 0.390014  |
| rmse     | 3.48815   |
| rmse_log | 0.11974   |
| log10    | 0.0335727 |
| silog    | 0.11659   |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_54.pth 
| d1       | 0.9363    |
| d2       | 0.987425  |
| d3       | 0.996783  |
| abs_rel  | 0.0772036 |
| sq_rel   | 0.386916  |
| rmse     | 3.47683   |
| rmse_log | 0.119289  |
| log10    | 0.033433  |
| silog    | 0.11615   |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_56.pth 
| d1       | 0.936842  |
| d2       | 0.987587  |
| d3       | 0.996829  |
| abs_rel  | 0.0768303 |
| sq_rel   | 0.384131  |
| rmse     | 3.46404   |
| rmse_log | 0.118725  |
| log10    | 0.0332471 |
| silog    | 0.115641  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_58.pth 
| d1       | 0.937338  |
| d2       | 0.987751  |
| d3       | 0.996879  |
| abs_rel  | 0.0764827 |
| sq_rel   | 0.381627  |
| rmse     | 3.45007   |
| rmse_log | 0.118114  |
| log10    | 0.033041  |
| silog    | 0.115127  |

