| network_model                | AuxGuideDepth                     |
| log10    | 0.351145 |
| silog    | 0.635367 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_17.pth 
| d1       | 0.115071 |
| d2       | 0.252749 |
| d3       | 0.501686 |
| abs_rel  | 1.47562  |
| sq_rel   | 2.21897  |
| rmse     | 1.20772  |
| rmse_log | 0.824253 |
| log10    | 0.338895 |
| silog    | 0.616422 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_18.pth 
| d1       | 0.126759 |
| d2       | 0.270127 |
| d3       | 0.532477 |
| abs_rel  | 1.4183   |
| sq_rel   | 2.08095  |
| rmse     | 1.16765  |
| rmse_log | 0.802244 |
| log10    | 0.329009 |
| silog    | 0.600882 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_19.pth 
| d1       | 0.136866 |
| d2       | 0.286255 |
| d3       | 0.557885 |
| abs_rel  | 1.36838  |
| sq_rel   | 1.96611  |
| rmse     | 1.13676  |
| rmse_log | 0.782817 |
| log10    | 0.320203 |
| silog    | 0.587536 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_20.pth 
| d1       | 0.151076 |
| d2       | 0.313075 |
| d3       | 0.588229 |
| abs_rel  | 1.32226  |
| sq_rel   | 1.89929  |
| rmse     | 1.11335  |
| rmse_log | 0.761799 |
| log10    | 0.310453 |
| silog    | 0.573741 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_21.pth 
| d1       | 0.151565 |
| d2       | 0.324195 |
| d3       | 0.59719  |
| abs_rel  | 1.29241  |
| sq_rel   | 1.81938  |
| rmse     | 1.09354  |
| rmse_log | 0.750271 |
| log10    | 0.30594  |
| silog    | 0.564937 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_22.pth 
| d1       | 0.161175 |
| d2       | 0.351033 |
| d3       | 0.615163 |
| abs_rel  | 1.25266  |
| sq_rel   | 1.74468  |
| rmse     | 1.06049  |
| rmse_log | 0.732368 |
| log10    | 0.298006 |
| silog    | 0.552833 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_23.pth 
| d1       | 0.166669 |
| d2       | 0.375785 |
| d3       | 0.626132 |
| abs_rel  | 1.22139  |
| sq_rel   | 1.68061  |
| rmse     | 1.04579  |
| rmse_log | 0.718991 |
| log10    | 0.292062 |
| silog    | 0.5431   |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_24.pth 
| d1       | 0.127888 |
| d2       | 0.390574 |
| d3       | 0.626014 |
| abs_rel  | 1.15089  |
| sq_rel   | 1.43362  |
| rmse     | 1.02866  |
| rmse_log | 0.706026 |
| log10    | 0.287408 |
| silog    | 0.535289 |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_25.pth 
| d1       | 0.151875 |
| d2       | 0.415759 |
| d3       | 0.641296 |
| abs_rel  | 1.10795  |
| sq_rel   | 1.33945  |
| rmse     | 0.976917 |
| rmse_log | 0.686489 |
| log10    | 0.278287 |
| silog    | 0.521557 |

