| network_model                | AuxSparseGuidedDepth                                      |
New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_17.pth 
| d1       | 0.561002 |
| d2       | 0.839808 |
| d3       | 0.966459 |
| abs_rel  | 0.250231 |
| sq_rel   | 1.98756  |
| rmse     | 6.8714   |
| rmse_log | 0.307545 |
| log10    | 0.104418 |
| silog    | 0.299313 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_18.pth 
| d1       | 0.577256 |
| d2       | 0.851576 |
| d3       | 0.974073 |
| abs_rel  | 0.226899 |
| sq_rel   | 1.66522  |
| rmse     | 6.69703  |
| rmse_log | 0.296879 |
| log10    | 0.100065 |
| silog    | 0.285334 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_19.pth 
| d1       | 0.598766  |
| d2       | 0.872016  |
| d3       | 0.97259   |
| abs_rel  | 0.230429  |
| sq_rel   | 1.7747    |
| rmse     | 6.54186   |
| rmse_log | 0.286775  |
| log10    | 0.0961667 |
| silog    | 0.279833  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_20.pth 
| d1       | 0.607281  |
| d2       | 0.881718  |
| d3       | 0.978831  |
| abs_rel  | 0.210366  |
| sq_rel   | 1.49394   |
| rmse     | 6.40002   |
| rmse_log | 0.278102  |
| log10    | 0.0929967 |
| silog    | 0.267564  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_21.pth 
| d1       | 0.630363  |
| d2       | 0.89527   |
| d3       | 0.975505  |
| abs_rel  | 0.219886  |
| sq_rel   | 1.6851    |
| rmse     | 6.29517   |
| rmse_log | 0.270993  |
| log10    | 0.0902083 |
| silog    | 0.265188  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_22.pth 
| d1       | 0.623686 |
| d2       | 0.902567 |
| d3       | 0.982077 |
| abs_rel  | 0.196798 |
| sq_rel   | 1.33128  |
| rmse     | 6.23242  |
| rmse_log | 0.265854 |
| log10    | 0.089138 |
| silog    | 0.252953 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_24.pth 
| d1       | 0.596833  |
| d2       | 0.903785  |
| d3       | 0.98149   |
| abs_rel  | 0.196896  |
| sq_rel   | 1.29174   |
| rmse     | 6.46434   |
| rmse_log | 0.272545  |
| log10    | 0.0939366 |
| silog    | 0.249467  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_27.pth 
| d1       | 0.692236  |
| d2       | 0.921469  |
| d3       | 0.979181  |
| abs_rel  | 0.201922  |
| sq_rel   | 1.52374   |
| rmse     | 5.87832   |
| rmse_log | 0.24384   |
| log10    | 0.0799536 |
| silog    | 0.237595  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_28.pth 
| d1       | 0.691591  |
| d2       | 0.942881  |
| d3       | 0.986952  |
| abs_rel  | 0.173456  |
| sq_rel   | 1.11641   |
| rmse     | 5.72055   |
| rmse_log | 0.231553  |
| log10    | 0.0767484 |
| silog    | 0.222218  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_29.pth 
| d1       | 0.726697  |
| d2       | 0.937993  |
| d3       | 0.984576  |
| abs_rel  | 0.179829  |
| sq_rel   | 1.27633   |
| rmse     | 5.55867   |
| rmse_log | 0.225628  |
| log10    | 0.0730633 |
| silog    | 0.22079   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_30.pth 
| d1       | 0.729447  |
| d2       | 0.950701  |
| d3       | 0.988526  |
| abs_rel  | 0.162638  |
| sq_rel   | 1.02998   |
| rmse     | 5.46311   |
| rmse_log | 0.217292  |
| log10    | 0.0710452 |
| silog    | 0.210349  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_31.pth 
| d1       | 0.756372 |
| d2       | 0.943879 |
| d3       | 0.986248 |
| abs_rel  | 0.170225 |
| sq_rel   | 1.18401  |
| rmse     | 5.37765  |
| rmse_log | 0.214644 |
| log10    | 0.068853 |
| silog    | 0.209958 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_32.pth 
| d1       | 0.756352  |
| d2       | 0.956162  |
| d3       | 0.989654  |
| abs_rel  | 0.153973  |
| sq_rel   | 0.952924  |
| rmse     | 5.33029   |
| rmse_log | 0.207226  |
| log10    | 0.0674514 |
| silog    | 0.200607  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_33.pth 
| d1       | 0.77605   |
| d2       | 0.945583  |
| d3       | 0.986557  |
| abs_rel  | 0.166954  |
| sq_rel   | 1.17071   |
| rmse     | 5.2893    |
| rmse_log | 0.208985  |
| log10    | 0.0664932 |
| silog    | 0.203648  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_35.pth 
| d1       | 0.781877 |
| d2       | 0.941537 |
| d3       | 0.985204 |
| abs_rel  | 0.171148 |
| sq_rel   | 1.25362  |
| rmse     | 5.33977  |
| rmse_log | 0.210326 |
| log10    | 0.066455 |
| silog    | 0.202749 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_37.pth 
| d1       | 0.785574  |
| d2       | 0.939566  |
| d3       | 0.984409  |
| abs_rel  | 0.17256   |
| sq_rel   | 1.28176   |
| rmse     | 5.33866   |
| rmse_log | 0.210472  |
| log10    | 0.0661672 |
| silog    | 0.201172  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_39.pth 
| d1       | 0.807746  |
| d2       | 0.950238  |
| d3       | 0.987668  |
| abs_rel  | 0.157403  |
| sq_rel   | 1.09807   |
| rmse     | 5.08301   |
| rmse_log | 0.197307  |
| log10    | 0.0616234 |
| silog    | 0.19033   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_40.pth 
| d1       | 0.813237  |
| d2       | 0.966099  |
| d3       | 0.991907  |
| abs_rel  | 0.135766  |
| sq_rel   | 0.799933  |
| rmse     | 5.04909   |
| rmse_log | 0.186402  |
| log10    | 0.0600574 |
| silog    | 0.179306  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_41.pth 
| d1       | 0.82535   |
| d2       | 0.957729  |
| d3       | 0.989502  |
| abs_rel  | 0.14601   |
| sq_rel   | 0.972692  |
| rmse     | 4.88859   |
| rmse_log | 0.187219  |
| log10    | 0.0581027 |
| silog    | 0.181797  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_42.pth 
| d1       | 0.832021  |
| d2       | 0.968477  |
| d3       | 0.992388  |
| abs_rel  | 0.130421  |
| sq_rel   | 0.760521  |
| rmse     | 4.87956   |
| rmse_log | 0.179076  |
| log10    | 0.0569992 |
| silog    | 0.173471  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_43.pth 
| d1       | 0.835784 |
| d2       | 0.960919 |
| d3       | 0.990283 |
| abs_rel  | 0.140632 |
| sq_rel   | 0.919281 |
| rmse     | 4.78047  |
| rmse_log | 0.181829 |
| log10    | 0.056136 |
| silog    | 0.176677 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_45.pth 
| d1       | 0.841804 |
| d2       | 0.962128 |
| d3       | 0.990544 |
| abs_rel  | 0.138204 |
| sq_rel   | 0.902682 |
| rmse     | 4.72259  |
| rmse_log | 0.179006 |
| log10    | 0.054964 |
| silog    | 0.173583 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_47.pth 
| d1       | 0.844611  |
| d2       | 0.962285  |
| d3       | 0.990565  |
| abs_rel  | 0.137553  |
| sq_rel   | 0.90575   |
| rmse     | 4.69792   |
| rmse_log | 0.177869  |
| log10    | 0.0543544 |
| silog    | 0.171847  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_49.pth 
| d1       | 0.846981  |
| d2       | 0.962604  |
| d3       | 0.99064   |
| abs_rel  | 0.136686  |
| sq_rel   | 0.902506  |
| rmse     | 4.668     |
| rmse_log | 0.176656  |
| log10    | 0.0537826 |
| silog    | 0.17014   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_51.pth 
| d1       | 0.852802  |
| d2       | 0.964394  |
| d3       | 0.991097  |
| abs_rel  | 0.133271  |
| sq_rel   | 0.868815  |
| rmse     | 4.59693   |
| rmse_log | 0.173296  |
| log10    | 0.0525705 |
| silog    | 0.166997  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_53.pth 
| d1       | 0.860525 |
| d2       | 0.966978 |
| d3       | 0.991715 |
| abs_rel  | 0.128571 |
| sq_rel   | 0.82261  |
| rmse     | 4.50989  |
| rmse_log | 0.168869 |
| log10    | 0.051033 |
| silog    | 0.163184 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_55.pth 
| d1       | 0.866743  |
| d2       | 0.969012  |
| d3       | 0.992211  |
| abs_rel  | 0.124782  |
| sq_rel   | 0.787457  |
| rmse     | 4.43918   |
| rmse_log | 0.16526   |
| log10    | 0.0497595 |
| silog    | 0.160013  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_57.pth 
| d1       | 0.871175  |
| d2       | 0.970341  |
| d3       | 0.99253   |
| abs_rel  | 0.122132  |
| sq_rel   | 0.764231  |
| rmse     | 4.3853    |
| rmse_log | 0.162666  |
| log10    | 0.0488072 |
| silog    | 0.157626  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_59.pth 
| d1       | 0.874323  |
| d2       | 0.971238  |
| d3       | 0.992726  |
| abs_rel  | 0.120276  |
| sq_rel   | 0.748955  |
| rmse     | 4.34304   |
| rmse_log | 0.16078   |
| log10    | 0.0480839 |
| silog    | 0.15579   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_61.pth 
| d1       | 0.876939  |
| d2       | 0.971968  |
| d3       | 0.992885  |
| abs_rel  | 0.118736  |
| sq_rel   | 0.736547  |
| rmse     | 4.30667   |
| rmse_log | 0.159177  |
| log10    | 0.0474673 |
| silog    | 0.154181  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_63.pth 
| d1       | 0.879036  |
| d2       | 0.972538  |
| d3       | 0.993011  |
| abs_rel  | 0.117478  |
| sq_rel   | 0.726697  |
| rmse     | 4.27513   |
| rmse_log | 0.157846  |
| log10    | 0.0469506 |
| silog    | 0.152826  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_65.pth 
| d1       | 0.881108  |
| d2       | 0.973091  |
| d3       | 0.993126  |
| abs_rel  | 0.11622   |
| sq_rel   | 0.716506  |
| rmse     | 4.24384   |
| rmse_log | 0.156532  |
| log10    | 0.0464436 |
| silog    | 0.151503  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_67.pth 
| d1       | 0.883228  |
| d2       | 0.973642  |
| d3       | 0.993264  |
| abs_rel  | 0.114898  |
| sq_rel   | 0.705298  |
| rmse     | 4.21147   |
