| network_model                | AuxGuideDepth                              |
| abs_rel  |  5.18509    |
| sq_rel   | 23.2512     |
| rmse     |  4.17575    |
| rmse_log |  1.70766    |
| log10    |  0.725089   |
| silog    |  1.23533    |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_18.pth 
| d1       |  0.00688988 |
| d2       |  0.0217373  |
| d3       |  0.0426778  |
| abs_rel  |  4.95267    |
| sq_rel   | 21.2376     |
| rmse     |  3.98207    |
| rmse_log |  1.6705     |
| log10    |  0.708812   |
| silog    |  1.20936    |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_19.pth 
| d1       |  0.00726294 |
| d2       |  0.0239439  |
| d3       |  0.0458785  |
| abs_rel  |  4.74623    |
| sq_rel   | 19.5252     |
| rmse     |  3.8111     |
| rmse_log |  1.63643    |
| log10    |  0.693896   |
| silog    |  1.18555    |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_20.pth 
| d1       |  0.00764351 |
| d2       |  0.0264028  |
| d3       |  0.0495016  |
| abs_rel  |  4.5561     |
| sq_rel   | 18.0136     |
| rmse     |  3.65395    |
| rmse_log |  1.60398    |
| log10    |  0.67968    |
| silog    |  1.16287    |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_21.pth 
| d1       |  0.00824462 |
| d2       |  0.028628   |
| d3       |  0.053239   |
| abs_rel  |  4.38184    |
| sq_rel   | 16.6822     |
| rmse     |  3.51004    |
| rmse_log |  1.57325    |
| log10    |  0.66624    |
| silog    |  1.14138    |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_22.pth 
| d1       |  0.00920855 |
| d2       |  0.0309363  |
| d3       |  0.0584391  |
| abs_rel  |  4.20152    |
| sq_rel   | 15.3524     |
| rmse     |  3.35914    |
| rmse_log |  1.54031    |
| log10    |  0.651799   |
| silog    |  1.1184     |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_23.pth 
| d1       |  0.0103545 |
| d2       |  0.0322567 |
| d3       |  0.0629351 |
| abs_rel  |  4.04608   |
| sq_rel   | 14.254     |
| rmse     |  3.2324    |
| rmse_log |  1.51112   |
| log10    |  0.639071  |
| silog    |  1.09783   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_24.pth 
| d1       |  0.0121312 |
| d2       |  0.0335211 |
| d3       |  0.0682761 |
| abs_rel  |  3.90524   |
| sq_rel   | 13.296     |
| rmse     |  3.11763   |
| rmse_log |  1.48393   |
| log10    |  0.627119  |
| silog    |  1.07874   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_25.pth 
| d1       |  0.0136372 |
| d2       |  0.0348051 |
| d3       |  0.0736338 |
| abs_rel  |  3.7847    |
| sq_rel   | 12.5209    |
| rmse     |  3.02189   |
| rmse_log |  1.46008   |
| log10    |  0.616621  |
| silog    |  1.06213   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_26.pth 
| d1       |  0.014299  |
| d2       |  0.0356299 |
| d3       |  0.0784419 |
| abs_rel  |  3.67869   |
| sq_rel   | 11.8668    |
| rmse     |  2.94068   |
| rmse_log |  1.43795   |
| log10    |  0.607097  |
| silog    |  1.04627   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_27.pth 
| d1       |  0.0152838 |
| d2       |  0.0378448 |
| d3       |  0.0864309 |
| abs_rel  |  3.57258   |
| sq_rel   | 11.1749    |
| rmse     |  2.84899   |
| rmse_log |  1.41719   |
| log10    |  0.597858  |
| silog    |  1.03214   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_28.pth 
| d1       |  0.0180132 |
| d2       |  0.0409645 |
| d3       |  0.096211  |
| abs_rel  |  3.42976   |
| sq_rel   | 10.3002    |
| rmse     |  2.72846   |
| rmse_log |  1.38679   |
| log10    |  0.58451   |
| silog    |  1.01095   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_29.pth 
| d1       | 0.0197284 |
| d2       | 0.0432471 |
| d3       | 0.107057  |
| abs_rel  | 3.30691   |
| sq_rel   | 9.58554   |
| rmse     | 2.62843   |
| rmse_log | 1.36004   |
| log10    | 0.572767  |
| silog    | 0.992209  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_30.pth 
| d1       | 0.0208681 |
| d2       | 0.0450079 |
| d3       | 0.115397  |
| abs_rel  | 3.20783   |
| sq_rel   | 9.03932   |
| rmse     | 2.55123   |
| rmse_log | 1.33765   |
| log10    | 0.563038  |
| silog    | 0.976247  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_31.pth 
| d1       | 0.0210918 |
| d2       | 0.0462024 |
| d3       | 0.12067   |
| abs_rel  | 3.14288   |
| sq_rel   | 8.68707   |
| rmse     | 2.50492   |
| rmse_log | 1.32366   |
| log10    | 0.556887  |
| silog    | 0.966326  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_32.pth 
| d1       | 0.0207172 |
| d2       | 0.0465494 |
| d3       | 0.12213   |
| abs_rel  | 3.10605   |
| sq_rel   | 8.4957    |
| rmse     | 2.47907   |
| rmse_log | 1.31577   |
| log10    | 0.553482  |
| silog    | 0.96079   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_33.pth 
| d1       | 0.0246239 |
| d2       | 0.0567285 |
| d3       | 0.142018  |
| abs_rel  | 2.95257   |
| sq_rel   | 7.68662   |
| rmse     | 2.34104   |
| rmse_log | 1.27862   |
| log10    | 0.536715  |
| silog    | 0.935811  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_34.pth 
| d1       | 0.0230497 |
| d2       | 0.0545311 |
| d3       | 0.141546  |
| abs_rel  | 2.91021   |
| sq_rel   | 7.47739   |
| rmse     | 2.31702   |
| rmse_log | 1.26882   |
| log10    | 0.532942  |
| silog    | 0.92775   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_35.pth 
| d1       | 0.0249218 |
| d2       | 0.0605351 |
| d3       | 0.151171  |
| abs_rel  | 2.83451   |
| sq_rel   | 7.10456   |
| rmse     | 2.24932   |
| rmse_log | 1.2496    |
| log10    | 0.524335  |
| silog    | 0.914715  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_37.pth 
| d1       | 0.0277217 |
| d2       | 0.0722227 |
| d3       | 0.168337  |
| abs_rel  | 2.68298   |
| sq_rel   | 6.38309   |
| rmse     | 2.12374   |
| rmse_log | 1.21181   |
| log10    | 0.507508  |
| silog    | 0.889399  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_38.pth 
| d1       | 0.0283064 |
| d2       | 0.0783999 |
| d3       | 0.175846  |
| abs_rel  | 2.5935    |
| sq_rel   | 5.97758   |
| rmse     | 2.05448   |
| rmse_log | 1.18849   |
| log10    | 0.497512  |
| silog    | 0.872537  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_40.pth 
| d1       | 0.0275893 |
| d2       | 0.0787222 |
| d3       | 0.180215  |
| abs_rel  | 2.50988   |
| sq_rel   | 5.63484   |
| rmse     | 2.00241   |
| rmse_log | 1.1665    |
| log10    | 0.488123  |
| silog    | 0.856362  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_41.pth 
| d1       | 0.0282314 |
| d2       | 0.0819832 |
| d3       | 0.185296  |
| abs_rel  | 2.43899   |
| sq_rel   | 5.35848   |
| rmse     | 1.96171   |
| rmse_log | 1.1461    |
| log10    | 0.479505  |
| silog    | 0.841087  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_42.pth 
| d1       | 0.0302372 |
| d2       | 0.0965198 |
| d3       | 0.195891  |
| abs_rel  | 2.34951   |
| sq_rel   | 4.97341   |
| rmse     | 1.89946   |
| rmse_log | 1.12266   |
| log10    | 0.468848  |
| silog    | 0.825097  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_43.pth 
| d1       | 0.033536 |
| d2       | 0.102172 |
| d3       | 0.204603 |
| abs_rel  | 2.31161  |
| sq_rel   | 4.7988   |
| rmse     | 1.84317  |
| rmse_log | 1.11028  |
| log10    | 0.463553 |
| silog    | 0.816937 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_44.pth 
| d1       | 0.0352694 |
| d2       | 0.114508  |
| d3       | 0.218853  |
| abs_rel  | 2.22548   |
| sq_rel   | 4.50657   |
| rmse     | 1.78529   |
| rmse_log | 1.0843    |
| log10    | 0.451934  |
| silog    | 0.799105  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_46.pth 
| d1       | 0.0345751 |
| d2       | 0.116655  |
| d3       | 0.221323  |
| abs_rel  | 2.18175   |
| sq_rel   | 4.31083   |
| rmse     | 1.74975   |
| rmse_log | 1.07443   |
| log10    | 0.447664  |
| silog    | 0.792009  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_47.pth 
| d1       | 0.0373127 |
| d2       | 0.123189  |
| d3       | 0.230133  |
| abs_rel  | 2.13127   |
| sq_rel   | 4.13038   |
| rmse     | 1.70603   |
| rmse_log | 1.05848   |
| log10    | 0.440561  |
| silog    | 0.781236  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_48.pth 
| d1       | 0.0410119 |
| d2       | 0.130412  |
| d3       | 0.239374  |
| abs_rel  | 2.06989   |
| sq_rel   | 3.89974   |
| rmse     | 1.65312   |
| rmse_log | 1.04001   |
| log10    | 0.432393  |
| silog    | 0.76864   |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_49.pth 
| d1       | 0.0435483 |
| d2       | 0.136264  |
| d3       | 0.247868  |
| abs_rel  | 2.02879   |
| sq_rel   | 3.75594   |
| rmse     | 1.61985   |
| rmse_log | 1.0274    |
| log10    | 0.426763  |
| silog    | 0.760174  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_50.pth 
| d1       | 0.0460771 |
| d2       | 0.142196  |
| d3       | 0.256698  |
| abs_rel  | 1.98229   |
| sq_rel   | 3.59243   |
| rmse     | 1.58258   |
| rmse_log | 1.01292   |
| log10    | 0.42044   |
| silog    | 0.750066  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_51.pth 
| d1       | 0.0485848 |
| d2       | 0.14816   |
| d3       | 0.265872  |
| abs_rel  | 1.94276   |
| sq_rel   | 3.45758   |
| rmse     | 1.54975   |
| rmse_log | 1.0003    |
| log10    | 0.414872  |
| silog    | 0.741484  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_52.pth 
| d1       | 0.0506192 |
| d2       | 0.152884  |
| d3       | 0.273728  |
| abs_rel  | 1.90482   |
| sq_rel   | 3.3303    |
| rmse     | 1.52003   |
| rmse_log | 0.988211  |
| log10    | 0.409588  |
| silog    | 0.733052  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_53.pth 
| d1       | 0.0535157 |
| d2       | 0.158178  |
| d3       | 0.282713  |
| abs_rel  | 1.86588   |
| sq_rel   | 3.20257   |
| rmse     | 1.48858   |
| rmse_log | 0.975509  |
| log10    | 0.404002  |
| silog    | 0.724316  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_54.pth 
| d1       | 0.0560077 |
| d2       | 0.162491  |
| d3       | 0.293272  |
| abs_rel  | 1.82883   |
| sq_rel   | 3.08453   |
| rmse     | 1.46038   |
| rmse_log | 0.963328  |
| log10    | 0.398683  |
| silog    | 0.715819  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_55.pth 
| d1       | 0.0585763 |
| d2       | 0.166538  |
| d3       | 0.302089  |
| abs_rel  | 1.79973   |
| sq_rel   | 2.99032   |
| rmse     | 1.43653   |
| rmse_log | 0.953868  |
| log10    | 0.394482  |
| silog    | 0.709472  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_56.pth 
| d1       | 0.0629569 |
| d2       | 0.172472  |
| d3       | 0.318959  |
| abs_rel  | 1.75585   |
