| network_model                | GuideDepth                                             |
| silog    | 0.655614  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_16.pth 
| d1       | 0.0996885 |
| d2       | 0.233537  |
| d3       | 0.453342  |
| abs_rel  | 1.56304   |
| sq_rel   | 2.44943   |
| rmse     | 1.26453   |
| rmse_log | 0.855054  |
| log10    | 0.352715  |
| silog    | 0.63793   |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_17.pth 
| d1       | 0.117294 |
| d2       | 0.253539 |
| d3       | 0.501352 |
| abs_rel  | 1.48058  |
| sq_rel   | 2.23227  |
| rmse     | 1.20347  |
| rmse_log | 0.824481 |
| log10    | 0.338989 |
| silog    | 0.616838 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_18.pth 
| d1       | 0.129171 |
| d2       | 0.272731 |
| d3       | 0.533981 |
| abs_rel  | 1.41684  |
| sq_rel   | 2.06838  |
| rmse     | 1.1586   |
| rmse_log | 0.800647 |
| log10    | 0.328384 |
| silog    | 0.600294 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_19.pth 
| d1       | 0.141473 |
| d2       | 0.29054  |
| d3       | 0.564655 |
| abs_rel  | 1.36051  |
| sq_rel   | 1.94636  |
| rmse     | 1.12643  |
| rmse_log | 0.778497 |
| log10    | 0.318347 |
| silog    | 0.584936 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_20.pth 
| d1       | 0.152129 |
| d2       | 0.31303  |
| d3       | 0.590682 |
| abs_rel  | 1.32061  |
| sq_rel   | 1.88646  |
| rmse     | 1.10633  |
| rmse_log | 0.760383 |
| log10    | 0.310066 |
| silog    | 0.572565 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_23.pth 
| d1       | 0.155473 |
| d2       | 0.361605 |
| d3       | 0.618368 |
| abs_rel  | 1.25401  |
| sq_rel   | 1.75585  |
| rmse     | 1.08185  |
| rmse_log | 0.732747 |
| log10    | 0.29769  |
| silog    | 0.552539 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_24.pth 
| d1       | 0.168687 |
| d2       | 0.400885 |
| d3       | 0.633105 |
| abs_rel  | 1.19921  |
| sq_rel   | 1.62907  |
| rmse     | 1.04158  |
| rmse_log | 0.710519 |
| log10    | 0.2878   |
| silog    | 0.537405 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_25.pth 
| d1       | 0.179601 |
| d2       | 0.437363 |
| d3       | 0.644285 |
| abs_rel  | 1.15224  |
| sq_rel   | 1.52646  |
| rmse     | 1.01356  |
| rmse_log | 0.691678 |
| log10    | 0.279314 |
| silog    | 0.524568 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_26.pth 
| d1       | 0.187818 |
| d2       | 0.465582 |
| d3       | 0.653098 |
| abs_rel  | 1.11275  |
| sq_rel   | 1.45039  |
| rmse     | 0.995081 |
| rmse_log | 0.675639 |
| log10    | 0.271957 |
| silog    | 0.513745 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_27.pth 
| d1       | 0.196632 |
| d2       | 0.490145 |
